,Lviv,Chernihiv,Dnipropetrovs'k,Uzhgorod,Kharkiv,Odesa,Poltava,Kiev,Zhytomyr,Khmelnytskyi,Vinnytsia,Cherkasy,Zaporizhia,Ternopil,Sumy
Lviv,0.0,568.763065672347,713.9537603026637,185.08445874135666,875.337343432625,622.5855898159908,698.4187600005589,468.82353784639974,331.6682248022282,228.44120196295395,342.0997378552514,526.7898670909979,915.9576973735041,115.95036166240801,774.3090818046653
Chernihiv,568.763065672347,0.0,393.3899468234285,738.1538954104042,348.0123473838754,537.1984406687656,211.89748241264567,125.38546395148582,238.5044661296244,401.0287039228231,350.6389592360931,239.3786611227934,525.3901473242206,470.09132136116745,217.96703462583542
Dnipropetrovs'k,713.9537603026637,393.3899468234285,0.0,820.5884736776861,317.4522044717889,249.01756136979785,222.11034411423512,350.04079661910976,490.32167375173145,485.54950239354366,372.2285743967917,208.01657681058376,203.29521030727332,598.5130907358529,353.083916346927
Uzhgorod,185.08445874135666,738.1538954104042,820.5884736776861,0.0,1022.7592486674329,677.4797040161511,844.0191193854462,628.4804054351558,506.5030625088734,356.03872748535713,457.75611371955,656.7644429917044,1023.4757872104315,268.0669200670254,934.1575849621574
Kharkiv,875.337343432625,348.0123473838754,317.4522044717889,1022.7592486674329,0.0,563.8934985367678,178.7491800541083,410.3443033723924,566.080894379807,666.7319908052585,572.2427276379443,373.9076490817274,287.3355766139805,763.9492244981119,143.89056178834386
Odesa,622.5855898159908,537.1984406687656,249.01756136979785,677.4797040161511,563.8934985367678,0.0,436.7680113645806,440.9378964824152,521.1413906244516,413.69682288209225,315.804633388383,297.8595098093905,407.81265195337215,519.7714399218976,574.9840577221738
Poltava,698.4187600005589,211.89748241264567,222.11034411423512,844.0191193854462,178.7491800541083,436.7680113645806,0.0,239.63996690299504,398.7251652469937,487.98674386184354,394.7163938818233,199.25375094731615,315.45173573897625,586.1100926182152,138.2173257518237
Kiev,468.82353784639974,125.38546395148582,350.04079661910976,628.4804054351558,410.3443033723924,440.9378964824152,239.63996690299504,0.0,159.42582938162425,281.35449025816695,225.29572872252217,153.61580488191706,519.6496245186935,362.08998608234634,306.3122761375054
Zhytomyr,331.6682248022282,238.5044661296244,490.32167375173145,506.5030625088734,566.080894379807,521.1413906244516,398.7251652469937,159.42582938162425,0.0,205.4655979631198,223.65075576898465,282.51622516771783,672.4365248495966,241.12576995411305,450.8342099100001
Khmelnytskyi,228.44120196295395,401.0287039228231,485.54950239354366,356.03872748535713,666.7319908052585,413.69682288209225,487.98674386184354,281.35449025816695,205.4655979631198,0.0,113.78215387916356,303.65748909323133,687.7999943196089,113.67782882032698,582.4374604098404
Vinnytsia,342.0997378552514,350.6389592360931,372.2285743967917,457.75611371955,572.2427276379443,315.804633388383,394.7163938818233,225.29572872252217,223.65075576898465,113.78215387916356,0.0,200.16922458290458,574.9095864966879,227.40060552316314,503.33190829872984
Cherkasy,526.7898670909979,239.3786611227934,208.01657681058376,656.7644429917044,373.9076490817274,297.8595098093905,199.25375094731615,153.61580488191706,282.51622516771783,303.65748909323133,200.16922458290458,0.0,397.95268609013306,411.12952971287626,322.1979600896857
Zaporizhia,915.9576973735041,525.3901473242206,203.29521030727332,1023.4757872104315,287.3355766139805,407.81265195337215,315.45173573897625,519.6496245186935,672.4365248495966,687.7999943196089,574.9095864966879,397.95268609013306,0.0,800.2266675166201,396.74480282672937
Ternopil,115.95036166240801,470.09132136116745,598.5130907358529,268.0669200670254,763.9492244981119,519.7714399218976,586.1100926182152,362.08998608234634,241.12576995411305,113.67782882032698,227.40060552316314,411.12952971287626,800.2266675166201,0.0,668.3818896845482
Sumy,774.3090818046653,217.96703462583542,353.083916346927,934.1575849621574,143.89056178834386,574.9840577221738,138.2173257518237,306.3122761375054,450.8342099100001,582.4374604098404,503.33190829872984,322.1979600896857,396.74480282672937,668.3818896845482,0.0
